id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
685,and,then,Delmed Inc. 's top two officers resigned,"were succeeded by executives of Fresenius USA Inc. and its parent, Fresenius AG, a major Delmed holder that has been negotiating to acquire a controlling stake.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
686,and,so,Expenses are flat,that's a good sign.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
687,and,so,"""The company's stock is trading at 40 times next year's numbers,","that's too much,"" she said.",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
688,and,then,It expects to begin construction by year end,start shipping four-megabit dynamic random-access memory chips by mid-1991.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
689,without,but,The HyperCard program allows users to design applications for Macintosh computers,having to be hardcore programmers and is distributed with every Macintosh sold.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
690,and,instead,"When the response to criticism is only a better explanation of policies without altering the reasons for the criticism, I am convinced that Mr. Kageyama has still failed to attack the root cause of the problem",is simply treating symptoms.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
691,and,as a result,"Cie.
Generale des Eaux reported that net profit climbed 30% in the first half of 1989",said that it expects a gain of about 25% for the full year.,Expansion.Conjunction,Contingency.Cause.Result
692,and,then,The political risk would be far less if the president drew a firm line,"hewed to it, experts insist.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
693,and,then,Will he try to gain a seat on or control of the board,force a radical split of USX into separate oil and steel companies?,Expansion.Conjunction,Temporal.Asynchronous.Precedence
694,and,as a result,"What miffed many USX executives and shareholders was that the acquisition, for $3 billion of stock, doubled the USX shares outstanding",considerably diluted them.,Expansion.Conjunction,Contingency.Cause.Result
695,and,thus,"In the past five years, USX has turned steel into a profit maker by closing several plants",reducing labor costs.,Expansion.Conjunction,Contingency.Cause.Result
696,and,thus,"However, shedding steel would run directly counter to Mr. Roderick's original rationale for diversifying into oil and gas: Having two major products would lessen the company's vulnerability to one market's down cycle",help smooth out the flow of cash and earnings.,Expansion.Conjunction,Contingency.Cause.Result
697,and,thereby,"Israel has launched a new effort to prove the Palestine Liberation Organization continues to practice terrorism,",thus to persuade the U.S. to break off talks with the group.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
698,and,as a result,"Stock prices, meanwhile, posted significant gains in later trading",closed down by only 3.69 points on the day.,Expansion.Conjunction,Contingency.Cause.Result
699,and,as a result,"The mismatch exposed the company to a high degree of interest-rate risk,","when rates moved unfavorably -- beginning late last year and continuing into this year -- ""it cost them,"" Mr. Kriz said.",Expansion.Conjunction,Contingency.Cause.Result
700,and,then,"The mismatch exposed the company to a high degree of interest-rate risk, and when rates moved unfavorably -- beginning late last year","continuing into this year -- ""it cost them,"" Mr. Kriz said.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
701,and,as a result,"Mr. Kriz noted that Boston Safe Deposit ""has taken some actions to better control asset-liability management and improve controls in general,","we think these will serve to improve credit quality.""",Expansion.Conjunction,Contingency.Cause.Result
702,without,but,"In what amounts to an admission that the transition hasn't gone as smoothly as Sears had hoped, the giant retailer is now trying new ways to drum up business",appearing to abandon its seven-month-old strategy.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
703,and,then,"Worse, the properties then sit around deteriorating for maybe a year or so, but are resold eventually (because of the attractiveness of the low down payment, etc.) to a marginal buyer who can't afford both the mortgage and needed repairs;",having little vested interest that buyer will walk away and the vicious cycle repeats itself all over again.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
704,and,then,"Worse, the properties then sit around deteriorating for maybe a year or so, but are resold eventually (because of the attractiveness of the low down payment, etc.) to a marginal buyer who can't afford both the mortgage and needed repairs; and having little vested interest that buyer will walk away",the vicious cycle repeats itself all over again.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
705,and,then,"It gave the Japanese people a value system, based on the rationalization that given the country's lack of natural resources, they must work hard to create value through exports",buy food with the surplus.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
706,and,as a result,"The Ministry of Education is nothing but a cartel for licensed teachers,",certainly does not act on behalf of students.,Expansion.Conjunction,Contingency.Cause.Result
707,and,then,The Ministry of Construction spreads concrete throughout the country,"boasts in international conferences that Japan's paved roadway per capita is the longest in the world, but they seldom think of the poor commuters who spend so much time sitting in traffic.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
708,and,as a result,"Whereas most men were a bit ambivalent about the sex scandals (though they were furious about Recruit), women were upset about both",surged to the polls.,Expansion.Conjunction,Contingency.Cause.Result
709,and,then,If the IRS asks for,"gets a replacement for a check that it concedes it lost in processing, it will reimburse the taxpayer for the stop-payment charge on the original.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
710,and,then,So the IRS has drawn a rationale from the sale of a home site split in two,sold in different years to the same buyer; a court let the seller in that old case treat this as the sale of one residence.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
711,and,therefore,Ben earns any fees sent directly to charity,"is taxable on them, the IRS says; of course, he also may take a charitable deduction for them.",Expansion.Conjunction,Contingency.Cause.Result
712,without,but,Seattle's license fees for adult peep shows vary from those for other coin-operated amusements,"serving a substantial government interest and are unconstitutional, the ninth-circuit appeals court holds for Acorn Investments Inc.",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
713,and,therefore,Seattle's license fees for adult peep shows vary from those for other coin-operated amusements without serving a substantial government interest,"are unconstitutional, the ninth-circuit appeals court holds for Acorn Investments Inc.",Expansion.Conjunction,Contingency.Cause.Result
714,and,therefore,"He added: ""There's probably even a magazine for left-handed golfers . . . but the general interest magazine is something we all miss,","it should come back.""",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
715,and,as a result,"""I suspect October wasn't as good as the third quarter,","they'll have difficulty matching the third quarter in the fourth quarter,"" Mr. Blumstein said.",Expansion.Conjunction,Contingency.Cause.Result
716,and,instead,The builders are more willing to give up some equity,rely on management and consulting fees to stay afloat in the soft market.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
717,then,and,"""Why should you beat your brains out fighting the environmentalists, the neighborhood groups, dealing with traffic mitigation, sewers and fighting city hall,","try to convince a lender to lend you money in an overbuilt market when you can get pension fund money, buy a portfolio, sell off pieces off it and play your own game?"" says Jack Rodman, managing partner of the Los Angeles office of Kenneth Leventhal Inc. a national accounting firm.",Temporal.Asynchronous.Precedence,Expansion.Conjunction
